100000 100 4
179437881 732455027 402291307 656861871
950807355 734950400 579174715 948114172
337375513 826333451 504694866 610644023
398342584 523256503 219693541 199260679
207258434 690684720 316881975 627770034
826353630 283433625 667802153 749952624
682261770 919518669 356418671 259473445
833895875 878189772 656983306 465524424
154390349 898919929 356272088 311573749
754730333 880861903 546650915 147805895
647292090 3544457 757774488 478567761
58551434 790483973 6820079 4904929
837345989 205094847 723222661 668951637
699351106 473097577 473335907 915106194
980935877 844434503 326892746 755509177
252371891 98719464 947225739 993014493
580061347 550801903 302453071 926461195
342179175 672934647 593074341 228850921
931819941 885332679 116383430 789381058
479542847 920655131 139208563 63856668
126842002 167778110 407024207 856227698
346314431 857426305 969719539 806106830
27142040 305476359 772472854 232376535
850537330 531300641 786797033 854239995
502523720 488158300 836353156 951459148
446160440 414764198 482837814 462643651
499985672 373601069 715493778 524474228
331621367 980905450 663735761 324765275
429775647 648419503 450017414 594020582
996439239 884669929 817330943 841773261
688045685 442291495 114059775 689666315
887860527 856807383 650941403 422888473
154783465 771974302 963894465 368558124
667487504 864739207 893249472 507167767
362078286 704930364 208932824 346947653
62908989 353422343 973002828 367179538
992842983 600166563 797856564 489683250
662144226 655195219 501126413 856784598
536950697 764471209 381440089 547709577
50332680 25778861 250054832 723733898
104724335 639826752 12720891 793053415
351511850 507903616 315644325 288455057
499015272 171090640 752020264 44900183
192544233 250816902 36249539 830721074
445934908 336262613 467637219 411165718
2693110 817011524 283757548 463640299
466163727 235840278 926143251 593149032
924031601 838931351 538612477 246479206
580391738 720847986 284669943 879981610
51083037 178312586 242651202 262837599
849295919 499611018 204546787 171771455
656821727 234083721 973063071 752593685
356012587 41675254 898163214 353174033
191262093 429311030 613630991 715340322
615954954 383590272 880323485 374208578
138676630 877803608 381563066 385290254
116642548 670966024 921234468 109276207
848334515 971538306 655864314 790212352
326958416 369965810 581680704 757230697
365270271 257225485 558139438 629633183
789576991 967232550 897351359 100952822
907803834 352875572 331981852 980711608
169406901 306413656 387559646 764152780
271290753 924791703 383989748 76824274
280152541 309506647 560757068 68413967
203046341 604841145 284473208 339192653
656325914 497675554 429346405 941939669
855818695 102679446 713864098 413375183
811235678 611712026 146144884 413165743
101415532 29443611 751043287 279960336
734338317 448995307 612076320 157029721
697857836 427799203 879404373 125834316
709280409 207856989 417672334 497324358
654092658 917780189 615499977 957729340
842955805 806230856 237851110 363118629
795581840 920042976 924800058 510850457
503519377 929697247 74888961 305599513
806305926 559246014 288699617 64352037
68924193 879395388 391392527 682675738
473623337 154668421 88787493 605115958
119385107 526302165 534446905 775772041
775377123 907782926 997217601 915827906
547750561 813108584 330445151 418825295
391210876 55008235 106591985 512496727
487645237 845379609 443312665 67877678
101393897 150345919 520407664 737365388
286525567 300009153 486449782 568522854
292328164 225238418 871330417 197509337
921758228 381067797 956748437 876468521
732376959 729365929 665600361 893554944
604880426 569096646 632494290 689086610
348825725 896354698 369896462 871839637
429460821 949433424 862140141 737059433
572812129 404850780 240927558 910634161
932161310 509750288 337446052 62090148
830998214 51652111 492500369 492549366
749011278 895845583 708076222 910701224
539521866 239396584 774244960 198869504
202373649 991157613 52680882 518799317
731788352 657185869 214038920 586441398
31909512 294297361 407899838 740969829
828321468 300483223 423104998 29068442
353196711 605489835 498602266 582264530
414836325 174775082 109281377 179600578
536211301 748756014 839183756 184240682
190188000 122588004 424268120 811383741
597010949 476050264 833870569 46099577
737956679 317773625 274798979 428620432
411463632 47829259 92230738 490764708
436889590 615807479 910233349 358718285
284256283 602857514 333274831 86929489
737411141 638565310 194785159 115928240
817174285 444571313 543311087 911919505
973817180 413970484 395109691 111390573
47648805 370104923 803396666 24767242
434349623 993209414 23226134 250446611
992990896 322417540 907998746 809210501
54771869 58574296 715965497 274471727
176920796 864633682 101611062 93737364
125345572 752770602 636275919 561584223
975879937 458276639 278626039 925981841
210763869 928503660 727133102 410439412
995035684 604467103 737086115 925315271
225342733 731099139 106431533 916013916
616876612 273961032 787001887 801512655
757111106 792074513 800571092 108393849
917778507 37477715 703773258 517296310
213490955 215863092 981270298 857488486
651391755 66261657 36425096 8771494
465370017 997876152 443551419 486676335
684450888 721227254 779654877 610047978
74594148 48227104 103012270 226623452
462293556 765409763 733271517 584962693
575027263 37194740 701912429 84941314
620637222 494683208 632367267 408500970
503254352 187954309 507667856 933282743
280074965 334000001 472873763 932083760
794509379 359187548 345665927 455397222
690488916 954270383 200035808 454946045
684819364 734685230 630090210 160189178
86756223 643607402 280731264 900238851
117581758 291758196 423651004 869742322
269847944 862124552 332008250 465881752
400162439 781926931 308726443 380609314
303884678 527724748 172519974 364889291
407485741 325961513 828931352 517888763
164940731 713887241 137275400 381355987
820527462 287786234 678011122 377252923
117740712 844156543 773132758 5490866
158401160 864271597 819864053 378819649
202365163 201849510 565183722 317269891
599004766 87577186 846063769 551619527
809999268 826677263 765109136 763750525
603811996 351034297 22986066 553705027
262752323 857699632 338760033 653838717
205154097 507488526 926341757 720055053
747591964 24505756 539187677 156307140
708986242 859383564 677386870 677419281
888738871 208266726 855312630 737875798
456037699 964200946 597180217 691332578
391275547 297664769 944286102 646074994
254021186 105340397 343675597 591642993
183198528 180009114 234627258 951494238
603440723 793140157 892659023 985584610
67890459 639526242 29929128 385544649
68704595 82937760 138964659 937502500
47102567 360674345 755492270 545006879
520571607 279649679 542715514 122293648
121095763 47910983 472549575 582458851
217048517 98858556 337717909 678176364
741547806 239162397 496243484 428585167
694928408 135078425 693564877 273378343
164416156 818201882 474840701 603348350
211281536 767998139 326243098 506432017
910153660 137443076 822471530 275728588
141842479 47751699 680982671 75196444
82610856 334880911 14154802 689532263
508015559 494531526 623800647 607082264
186749445 660447196 178132974 671845105
654753677 580511258 613338941 48714567
269201772 826013450 41920483 948984400
840655505 809323147 309799406 291118300
748605886 930898274 48028512 671842763
747468630 758614282 905802268 629369464
763536423 898552102 263636466 648100788
436276620 861455963 461504482 815236972
676751855 709461325 641586464 174653
911302910 42570505 858825624 859688609
699934978 720526794 751001405 655538550
413726653 358482500 374601480 805437247
212562558 216325190 748719012 683395604
562963913 769834939 397906077 484343072
680472100 649087634 13688937 43879980
99265498 875258822 16273440 260379096
195594640 803080765 560783521 469655510
212442478 985728459 309205486 868476842
820165590 993763187 819931205 553977958
175164430 128222463 830028592 992885964
10530039 687773173 427667291 987768834
117014875 410745554 148601528 988510043
369398968 242813133 755075180 121330459
946123613 266901672 783378674 94483277
200978558 805413760 512297228 708947104
339291982 55532464 824043503 749368468
613990873 675480483 656552083 724434111
766459608 951439998 823735515 356550579
400791820 373455665 100371124 409980544
627223877 72780808 802263356 84901339
681910269 637836633 129804861 793654401
73702269 458906334 363629770 494763954
550033347 117702128 815942325 515196025
418324128 334625070 277705502 209453807
900003975 590785963 782173279 86360536
422242604 193504821 933335880 695518157
569291977 278997891 633610796 548496248
102266494 417746600 875259823 779779254
194586591 950296827 475101325 272826907
154536331 828440496 314887735 863949278
482403131 842026110 509753182 740560947
418867869 579666807 638024307 494519940
302623374 102078609 201569874 820292821
854040828 736686256 317916163 625720371
743582702 768849572 430880936 585451303
520234419 716488595 817272011 283577464
96016789 337811573 200753077 666496453
819641295 796334564 723913986 937876751
757380808 145961021 936232586 330718389
336721923 775012963 550923358 566597159
736954341 237234652 355220967 285209164
27009557 885031815 371178054 643548679
102246984 889432702 961113512 935138063
707549562 744537208 341353550 625508811
788155196 308723149 59182408 610946264
395571785 542148212 891498741 40532894
547818687 899804687 442824525 819571218
970222224 261363360 447854890 550170896
189807122 539673481 25438454 55277238
219209921 53080014 635638692 544645876
596190599 852676810 572101152 41905564
956452198 294090638 202944679 933025014
423251323 934449170 768542434 882503600
292184562 391168858 881712875 271567866
952877392 369434950 796492704 787397665
874896669 154992534 645845581 615817340
853423885 957978169 112605014 34847122
776065384 492900062 81926457 855777475
888712603 279878138 649356524 303470145
721376202 27222989 266575972 23993823
486014680 314578271 262645249 576021367
495537117 269100986 553485100 904975264
495315080 140206595 957161909 241536892
607172124 485951382 204508051 713843696
932108685 861754521 523071553 806076663
799405156 168684340 65376047 87795800
683641454 572942121 376711839 759532962
523430382 297823547 915716781 138556907
37829755 762675144 583311508 299605721
656733039 308219016 834657505 150379605
196629306 26681714 257896484 277320852
191986252 934393748 732035834 675624243
218486275 50862641 299759033 477222288
538854167 398696904 769131255 611906375
845010331 111713802 290122701 589266386
256886893 589811986 889318628 758788317
143927104 349794175 880215064 692886050
332553510 512676647 213271559 787541070
55878951 733800801 860901622 975594253
434402455 679323338 843646052 724233826
820374710 576483486 753560816 839754749
653660330 627990579 197110161 217921618
887398617 171602861 714981092 291217202
725406937 618328823 981264292 981754593
989202747 369808167 267799102 416553024
134606407 81099160 32687348 157317777
543451037 93514652 916309239 832944125
647980235 783381260 513931341 871075017
911049066 113477041 875574547 393015440
147185766 914509618 50780180 672571176
693455873 425275442 443525523 824093383
429588258 160941772 945222592 739361526
977932676 607731923 248188570 156396018
752506764 867955289 435440872 690226001
451836485 311273953 93816753 427059253
462937723 332244547 325050518 704623462
937248225 301714610 738231196 153423225
821724103 454312137 987033427 678769560
847714716 201811310 713085984 477740065
789483683 24375511 174298526 842645844
893870710 296983544 747695274 283127099
896913731 546680096 174685214 190396460
788105264 389059848 313786173 249827051
249396621 642932506 708234239 255337641
775162996 247010440 147952146 812373391
840188871 369004522 877210982 889790367
244316593 739119589 718262224 381468367
835761298 963966089 935107671 733775622
64332755 953224681 231019345 697342265
284938790 658694397 50876219 400078113
972559172 425907675 700756438 803704434
684293267 95576313 707069995 902283701
662654349 423879139 928877332 537494005
332792384 948577989 889897360 251473512
765498605 845985768 57369325 870352170
137456467 653771370 352829475 908637053
851754940 629253260 893929083 567060491
935547763 183002166 141939383 260513751
272144096 93788773 476285463 363883852
355197875 30880488 866418132 163702661
859708868 791513185 679798930 552971514
19436347 733499657 35769294 509005204
688188061 210038906 859642762 630731806
884285820 215575828 173741932 761584864
892330154 507184494 351863211 200279361
941353881 825383128 795371816 285036564
377373798 500549753 641610324 744565038
85601694 716791582 927094489 12890169
44278078 684261566 5359120 60148687
538415689 71319822 380207378 389959479
571527599 434789224 34594376 751837650
712107223 247119087 812325614 31238451
220275408 825357077 892748786 892443273
636357515 57659820 760310969 774146070
778320020 410296428 813418005 505722562
70954798 457434780 305558745 592400457
496881090 603985034 448487491 128565229
900382889 101409899 353940093 5336011
229715456 237882347 445345907 861366528
936638046 972193214 527570284 620547297
554963301 721852128 13668477 660907895
889158759 735032456 783097956 535646195
156000904 348654712 809841292 410355357
101434644 841192482 667237986 241131436
126463597 518359920 238529370 346891279
234293449 810978469 822292200 190492048
412861047 739927148 321780095 969181677
532831076 344927507 859789073 994882445
974170956 698996839 985218020 207967847
127811853 824578008 658278819 88684390
406733167 13937950 831410395 444435843
528652569 709534725 95518037 667402152
510367376 149968711 984899206 287708961
669590713 503006601 847452769 971621496
272818881 275407039 408870559 481274331
229301976 471188963 187934066 834700493
210022810 486594678 915217858 747824563
606686351 337806553 267650602 280937153
587695334 657502342 701315523 506701118
49681472 415724742 968997547 656012724
807706537 666650212 489523137 305473511
810530131 122960705 245415952 778937447
385370498 829677179 295312206 177590750
19301081 302704960 988964921 607510471
394032926 812303692 833859651 567440686
761057267 442666260 814394992 412196602
378139240 299255095 283284781 738540868
67901883 731075977 292671352 426150357
757971325 142872437 61263957 676412246
973326610 121502285 913294309 852807030
200701116 110109188 921615810 226763247
462507981 486575984 441649864 734591452
443888231 951739397 880484853 767664900
24874950 654336650 863057559 227343352
526785196 987936059 906198341 450722283
170279075 564077143 290216096 971837360
336419716 106835905 109277456 510907519
776471574 217545856 672387849 143479295
370016885 660377635 623759461 659984586
488589672 846158963 815438165 100585229
446605784 88858193 227146133 835259839
617526234 363242584 805465783 501890712
915782034 171793637 433655496 53675775
348547793 993758776 142959509 756035326
6797845 290672726 869787679 957657427
339025491 790031581 972846082 745102391
746898480 148265355 321286348 675411240
526904317 406432194 763514022 832041216
285005839 296963684 541354347 214719528
868228962 449999562 736864889 449798904
259481628 236929440 77650191 675730564
874218538 419642527 389854470 420848010
519621878 402265924 265140644 661451808
914444401 414636138 454036969 855168402
887627750 439510766 17242107 862540288
210207673 821901044 386382911 847534549
958301292 687076758 159493765 649519383
180075678 297859551 941394148 360434830
390349987 219428287 502862062 871664836
936763486 885743975 934055479 654279635
275786837 835894452 130076446 654442960
989760844 89488964 970650400 185305338
674997839 61300322 926893688 463541732
919238879 759415668 95367816 893134776
342726830 951659447 787055159 60600201
571208501 280583091 25141408 770438679
458297189 598094891 352379295 396331698
571209563 697524627 862150508 610344127
612396471 822904807 608297468 468975473
326302014 16332164 83026383 771678412
58701333 646610193 724117767 255310897
343913449 387033158 836202767 983553392
426960251 993275061 982671047 214763688
359292744 660416482 310574536 276350540
94576037 73064336 258610465 686633232
426434949 513620576 791139419 856461148
23727911 105873743 459470390 887984115
991924771 273885846 125719683 684578759
618421313 38989525 511146776 184588396
519384891 772831538 783058076 248719725
199124638 238313393 688034483 622582355
394793848 275166401 871833036 740809251
290000352 87381870 93096669 738728853
837758630 363197358 433560917 214789
831830487 863892679 805017178 772436320
823134723 440420300 447539368 920380891
548703462 258782592 999828771 546989530
81683933 751111947 667328164 868026148
282562758 739119365 658585349 7486705
851866245 764362966 349232300 757041076
117635066 112347988 585947208 247759078
422040758 475583831 763001345 308623317
515720294 723430 984426814 948733555
176212884 708310767 675485178 995993042
201271254 350775569 340290643 747557444
185080808 291891811 6942742 713742000
73386257 269580775 162867054 614201873
356539299 157232962 228055971 545240466
554274873 361769881 362130073 509413271
905080696 920421483 121915953 7298569
788820401 693306769 67805771 435991586
350117027 176465292 466546296 580112321
337817536 767903038 491401014 672286939
518812879 28600891 239675488 276222529
752970293 552795440 849650037 670249582
302107318 218131550 8612119 934698975
32833912 46377265 420109810 493328733
176692562 592455104 998020572 444863938
130914772 144379024 279154244 752943970
954051320 362718759 62027231 176672487
720115492 471612422 86938148 239435223
779578620 547578151 845792153 101202152
282809308 809788087 352917622 156028698
679031769 857307518 831228230 408532239
682158205 851856256 842826362 767885846
68405998 972616269 880518182 743421430
892011693 590610979 261165767 419477648
280450172 973964376 883377266 675825709
687769725 54727568 764197636 873096811
710689506 746801787 359722988 179663627
336140574 364243388 89526378 830211716
353214042 346974890 39189059 374738876
123094660 697746358 692271345 867379578
709264090 419296988 544596069 908396895
941847317 50655079 349069158 414153830
257654983 511486605 209057766 463994313
755883412 234507761 877808032 423727703
728872288 96250688 162081051 726817095
554932666 148105647 83467419 178897121
601032997 358062187 721833398 157306228
261441971 498483662 638925521 19029966
60203351 361361908 677477293 766404258
158359019 856507526 34318439 875656679
18496212 313021591 480903814 938142163
7366001 174303629 506320838 601764465
881226344 229000079 771401122 806176634
467463298 464294419 990796647 577324662
293765708 322234565 373477656 529818891
697002553 614810314 765035505 915071771
899796898 645156973 564604635 26086609
406725606 546653255 402944221 979427208
27127754 191475194 562038500 649028458
292995996 607588635 200509297 717096933
91860705 49149015 386199608 553853211
990745100 615575916 369708576 90399249
764244287 944925386 295876368 730548032
150500458 659707448 285925522 728960750
591574638 47055153 558378093 343311556
126543278 515424609 273986339 745604535
180406141 217029765 429707959 652830007
710842912 356346620 261953931 667262503
715933487 403914911 740354468 116142612
131242388 788278049 957486823 295975705
944508249 481754865 458323811 674520368
19734423 311159351 116174357 855312668
837963702 679031519 151678239 870344364
999353448 408245099 339988644 667345331
362450466 951420941 576392908 430132488
951775592 170523525 159905180 472669889
577771613 428703403 387067027 452561967
957670179 635968586 137639966 727379909
319993504 908539843 172321549 785221582
947543562 337271283 701677044 252801271
269413458 301606348 420743930 483092447
187587478 821297125 994987046 545413618
667669370 504074801 792625794 389216509
817653586 715197489 976620451 518875030
942211276 622610138 147261791 461465058
502408419 380172457 271630703 532471758
952151633 484323697 898455038 72621918
892735838 955534998 901042360 835485941
587599247 646400329 561539209 509901795
683335409 576406131 255851814 599298890
585615935 672876618 969966377 492887436
