100000 100 4
688752034 352426159 916768160 886972842
648562885 156779841 873099900 665232551
582617580 697116578 715518824 18211290
223682323 273731757 481694068 358675979
420859213 863147312 427462688 510412418
324781451 18063497 645688725 821281611
865424480 505628234 206067950 3977211
429390492 101751027 807646073 521722150
611720634 6324146 560118064 128012479
756540919 655392964 401984119 55664398
7876347 420964000 657744253 788918763
142841666 585894441 71192541 899088769
65098150 867320688 862340968 950307218
566537592 446239980 375082596 661058759
355904851 594643784 79576065 540975337
979265043 893001214 87002722 26078598
857790131 70024928 181440294 484237178
346128071 421532302 725089378 101910154
737225916 239867526 652728582 479411198
480324737 975159048 324789628 864652525
187344773 327839306 247717438 394407754
315165739 460280368 191238957 266473539
551452300 185458340 7279671 261302955
329989792 347639707 397986882 262487627
439677524 99340915 402403417 1336214
749880213 182952722 169031295 442196139
248475165 497276574 865136114 888583437
7845117 422517421 21127472 136387847
995427724 148199958 449573175 688012394
623956337 713184654 613099217 233566971
783035272 542457667 502226658 415909387
239876343 488515870 816139696 574325163
580728223 929494304 737381228 374978978
781179654 874420941 391028072 696044740
131539297 967458922 537122901 584029216
382082348 890519411 137640292 729885208
332593887 188861401 849498306 431312680
519583402 465148318 986333629 802511107
119791208 44346720 741013473 859041802
141112510 41413609 359629980 717217061
150774073 349874118 777689719 643753923
659532515 205625141 562803137 56446910
218297765 632216295 169361053 375114899
548590190 161838461 760439421 40635526
225325471 924289457 596824889 577933113
822169812 194931388 231885989 507758783
512459159 834623440 71424663 285001616
198878943 820942864 45991343 883335443
397312225 419556196 520892472 543202359
221239050 168226722 297282925 48532986
388572679 931753785 533086252 92815779
663595477 131475047 68044873 273611474
982722623 179589957 983364820 419289476
48601199 950436750 836113799 728238305
602221905 844971052 449359586 439885449
424157571 395153979 893941866 677655286
934545219 937828641 20229046 842609653
384825803 839842818 364628234 738333920
668264700 807191001 241187547 83095700
258628434 10063915 439722971 586783846
132639579 732369716 174438444 74215222
660733612 925428041 642426394 697244690
967162677 927475 324124237 446307439
854980694 440355676 731765690 256646991
271847753 574822950 136608173 445741932
3287699 675219982 34931934 529017283
449512460 783056931 906675775 929001465
258347820 644035269 836688151 132163579
609794712 847529940 796216189 983936157
89570294 737925822 471812298 566788326
89595705 282636591 871917468 478023691
741282428 413086638 462932709 979214322
972332491 964354498 545144583 140664664
47638281 199408592 865629336 733483178
261266368 671592263 388045056 408673318
564382755 279910159 659718013 525171334
790901447 120694927 862944935 263468746
860045822 2645892 374298449 268575333
192440326 913972846 382491390 562329218
584597608 266897451 953880209 728882478
706723066 93631270 403644836 480251217
685297291 429557303 806701313 120289005
931008072 579627020 797099503 700565097
704291358 198624829 332143429 563240454
69792551 756018144 454163227 162256494
879453702 771668353 582654273 832780302
366410698 547257552 847071401 265303057
655476684 649725813 816563641 879002959
442450087 784922028 31577697 608685928
979183807 597186413 844923736 75500425
135081878 815036124 178351504 253611780
689491259 673964653 688915956 685118931
480696556 748075101 137315225 143401394
309727406 530853464 610746010 86081320
684366393 300593262 274164464 401578790
310058988 189806366 921218895 850436731
344966256 354381190 380401309 23908961
810982487 122424658 453824154 740168480
549814910 426036894 594966784 640151450
210930006 344192203 704883113 974255839
218269214 677355042 546515357 566444039
253766972 219417829 337566163 285973162
293055891 416393153 274784522 85756287
739018771 190475525 902222225 638975445
81043528 996806763 442722938 425248216
692310986 271660428 896960193 342386672
989739389 370746599 387936524 42946280
31675568 878628059 985828304 627001327
554029735 987138557 494829771 693242583
349760657 362242100 815244441 729444775
903600085 509699228 834339061 578779136
226258800 520008165 122494347 424183128
931104815 98405203 543804201 610815888
769354381 285509901 117878248 404645690
540274498 605722782 759698266 680819675
641909113 490752010 213157269 733635382
913931958 142808765 783975603 923913113
166874129 858024550 517085529 598938550
749627254 724681426 389163250 215378330
178941037 808279407 193677575 256456132
666663214 137957788 313176783 444160289
136613852 204994776 417371430 711059409
8594658 528840558 561337680 294150208
22961324 572568510 216956500 764439920
241093125 626966371 977072194 754416562
945923594 767385428 335956762 102905805
206893512 887533521 948577347 948701397
284113343 628369059 643002390 824881043
867818783 290881774 95586169 383705472
724805420 829933236 774759929 977925697
989713853 322496729 767238689 202537711
217596482 845129714 796327844 744694387
841953915 934166053 521065985 271757688
41574521 599341426 327237806 518083634
30401476 695434346 964294841 141700038
448974571 762585939 656840510 629544785
688080679 581558702 469257498 895209557
247715155 767357956 232105339 184612459
551150403 352854821 70726703 137528055
201480355 632583079 832522768 649823129
838642287 449845855 524889710 111439644
704926333 920169922 309463384 639729974
409957635 963734166 927331142 720481355
573988311 279840202 627995883 352242975
601236650 347150052 292368435 323859674
630095137 801905830 53844681 520268051
154316344 664582397 877972279 503166823
898415418 3695862 5378195 993049471
730639763 877965398 238980707 592915062
591078859 808634365 276648184 681337952
825708218 805319853 318659237 300865281
664105796 316098053 100691468 568806677
237022182 426951525 661400730 197595084
854878967 617498873 627839705 135103775
84948663 597419908 969006049 913390396
643037820 742787323 126311107 427576871
771169659 984560370 34682214 685049977
628576390 741184075 894093516 150155506
256902967 542937310 365956346 151728700
273491289 752723453 646301511 775939270
47632303 422653654 662750839 691971441
687897283 987934812 322246951 1224464
325857219 950283126 720585224 568387122
289235690 834070398 646635091 925620467
223025661 216773399 881106201 469811568
634608198 443702122 36028186 108617164
709184104 773794714 601103603 291425232
88420860 545972238 160633747 869514833
392478922 414660100 715128816 987812800
782409537 26687907 596537252 620514615
619333808 735490683 309103262 550968192
297635739 425287913 861240975 267057342
821282466 525045566 153864245 178856137
796889640 62482384 45881818 699148248
370014169 325844525 754262688 516833041
546365244 82780008 397210932 938970918
46617830 47612520 829391202 297043089
284529052 607382870 187746664 8430081
901457281 677069752 63603676 280230491
428731587 442703589 727910887 189660109
418303087 840330729 888869735 34262362
69511386 649033850 240884191 535114626
564350632 370673537 831215619 530631069
601589663 511018173 927621260 101769812
642983616 33810122 947053749 997959977
282329813 846435280 597165597 238167572
166346381 229662025 832357233 110025559
733627751 336059542 746850463 447364844
247509285 919427974 841955291 356352361
857089618 72627557 9465995 188383540
492248334 25890729 45918050 626131854
329572116 586019003 120116493 463997202
807266654 707413004 741004615 493602794
839165101 624961543 317216968 171927120
671582136 854166613 773925624 922174436
587714056 472628159 261673030 368164167
40146281 585741021 859438279 951857224
365669909 399750828 550451082 917480628
209687284 512145502 117265644 512239097
235221217 985422344 494104712 153509066
1775777 888013984 391205998 264850140
856881463 732470624 396566148 201977860
581885724 14994789 13763236 256647420
952292629 38586540 168268370 553260430
503957789 883774555 1241366 944747534
253417152 985551118 472393603 828848828
46876532 605947047 958752638 29719964
677276327 930054705 833014207 440717294
777105902 657264232 765824384 224145232
704358372 961932676 689933168 951127046
222300256 90157307 859860048 384806003
