100000 100 4
629950316 939352038 217690308 319153386
354408935 65500532 314706342 423255272
30002580 285390473 45817128 892264982
28451861 793605314 851626398 646063485
95484965 141493153 803822233 377516303
722600370 902776162 268824349 897825223
815242578 793910421 867785205 44359931
255851087 3729456 811349581 309149944
380432656 792621916 203997476 915098152
185767150 241549359 864001491 326030523
42686021 245336480 526212091 526804035
700273751 462152760 457971234 843586327
939782089 595270875 99054302 642989508
753371789 884637143 611588584 1650053
50704354 137357927 681907135 784108071
192435999 39028411 882883471 341327474
91435077 686540870 872095824 900439280
654260731 535548732 568356185 345252369
76893158 768589080 291996450 581172667
91665823 854935424 75427911 369826950
425569087 929964465 398701781 68356716
55671656 464036020 861199977 963184124
584606524 857180659 724661843 228614815
778650146 363489055 720004625 888520438
949971057 868367072 956659527 694343191
260724980 61487474 392796048 220305324
196636289 721584937 383418700 310237893
326457831 868663257 714813833 617164617
163343733 586069825 847383927 409979244
996341283 390321097 788846156 86635646
408208147 199488416 771223919 658728399
771128392 289368399 152154742 855759820
964676802 433242279 147371109 360361124
739816690 400429114 506532833 526948874
587993183 131496277 956259342 602123045
185195723 638458408 370636557 798073132
656143616 145114633 499665383 814806507
548865817 208336407 847524574 690235374
314238923 939959052 332052070 290593840
858701990 999822450 143366219 562392451
454339442 43216046 80562232 766098995
70998719 977534538 429816427 794232537
62113660 307261455 568981527 484025620
952035991 97213552 854355749 615007787
234692478 115216369 941374835 237390598
295942253 503508943 455307145 467554575
472124557 351778024 517895518 761497442
467135362 432913110 665800644 202798398
131273179 508455671 639521618 805117312
533383500 658963096 766654966 813882330
194041540 705014056 148947645 622060055
192801883 377765606 528022510 904319841
618674515 304555799 731233875 338884196
711007205 693499509 696977058 141570144
525558544 175567753 753287187 303392780
425213068 949915790 981818134 465047619
987106886 151396621 171984369 555570233
60740205 933265843 329063676 73864310
66644379 969319897 767155615 486116380
526483159 718216357 290267799 401501782
393058882 715811191 335887059 168130570
240546910 299568720 468940239 864424294
195477190 223095575 679068963 447709328
717856220 6561255 921801757 725690193
253669279 894966930 285494903 131407795
177297496 668264495 361958602 769497487
806624467 665292789 994512857 983953393
131444154 160684584 838769173 383169590
900488256 107123239 486458212 284637068
227056606 897668577 925781839 159254585
952466967 938195479 657645235 952056741
352855008 430010435 586791236 709191081
236540737 393358394 332490156 826946144
71088513 161365555 537004978 596856048
12746904 729159608 749908239 179577272
234149161 587095267 715475573 175799280
405308509 115206747 539860977 885020562
239379708 900527682 234585647 985952374
325143098 342853139 541552524 470522424
719693254 184317218 941579174 107280880
74498365 952265739 884736262 797920929
323863905 620596400 768444437 230910553
746789204 593767321 816289847 79106452
857066218 691247670 768764359 998049428
741111921 177717811 227792956 322576249
99215799 535234862 402237774 666280476
912521204 157464450 912012676 704985638
645218763 992852736 634953346 109762199
381408819 574525546 688247198 585987085
560370187 655123234 180075203 404342780
889222386 129178336 91085971 863021797
803009378 150287856 419388794 386640087
987721553 982611484 18554660 610915396
130012003 686757001 27633827 710454491
225519106 438187020 378829505 773005554
582211799 44930056 771018600 949881852
553023007 7321001 221187648 708051571
324466514 969057736 911036801 989052298
76694111 320740374 873672326 782586692
457230825 604968365 699278378 707085323
780051393 249007501 52738464 645146533
776996092 6950119 851265553 264780287
715949574 248803218 251878684 618118122
299098146 657454679 70644545 543385750
224170518 424547075 174580772 931758760
388930581 932317598 374902784 608347286
635134898 973182099 476215550 183798228
681966100 66398060 351017101 896014422
827305511 424708696 95287810 526075244
882851470 312089661 655490728 788798100
70295292 485410088 353280419 894436634
508201767 800660748 995746953 727114326
589848765 250067196 521094062 609546454
954631026 529279177 987297254 61034612
932573828 44294875 640781464 333904351
44790395 168489331 403852365 303781300
60230264 398933448 770182423 280237153
222823856 775126691 552722056 707905144
955218099 63857971 131123015 52753672
972518907 656642245 704521796 942684498
101947175 66172129 362901431 317038792
301149806 236037886 780843139 926842881
283818183 199640191 828654661 163466704
193732611 602673288 648111885 235618562
