100000 100 4
91858698 249856240 204568518 321239820
650588743 205881236 966400816 516786291
317297410 121141939 712641918 136384085
357271562 171512434 309761154 726684033
706536041 933176839 27646947 728550856
919844890 434199672 679310436 604026351
132975404 633180653 164423143 526729223
757237430 664958322 259384987 468618435
808374116 184796466 81340382 659480944
567875158 32655170 469795027 389017633
66882515 448387754 511858767 45708201
98487082 56190524 822404622 911468233
219312073 891928249 582224118 447061918
70218258 542509062 689010704 862879460
246432821 279906717 579092030 599999881
36281442 182934830 326223558 62076899
188408307 418800182 798122183 213439540
490803381 275933118 980183138 375898792
875208241 557519643 833936780 999458776
106417771 301516382 422020861 698272703
757789918 953673689 128159178 571736189
643157575 518872387 984222431 142664511
975705138 901406079 297895168 104988588
360903261 277145756 357773387 818481740
90231889 523991758 806848049 557449369
941137800 86149921 116317128 652370294
649094332 474276279 12190285 644010279
425961325 448725510 321702941 604330722
479554166 777809544 516758267 29115680
556804862 250835689 64175778 190272704
882110806 100451097 668942299 427681870
665617409 451250432 568743078 119350924
196707218 774890948 525127221 743973649
786851620 180182520 190723162 4488995
607616304 832454996 701917818 959137362
281768439 927467674 611193140 339000248
384170552 373882195 917897824 283937695
272952414 848484682 422250575 549313128
662946473 41584264 934612829 305011615
116142124 934472176 439585117 255331365
92396325 173244931 54840283 7751432
508977976 84176112 561726143 681191174
735353106 29728394 428529768 606442947
727506529 564714995 519420252 563459412
169355663 209785860 913982711 977117091
926289758 926801336 267394538 578008453
623475788 817937772 810056248 36868936
537907938 277266519 994242387 256819901
429946625 533018188 961787854 59597864
864136321 241413449 34583197 426986343
147254492 430160285 389400579 920001965
213837346 572311842 610606511 531965015
293478049 824673959 15309969 156147098
590766766 731072893 789594544 708537397
828111800 466771872 323563192 585012383
876750161 185671758 851775904 248005550
75327815 693227696 809467684 410275562
967031084 450712862 297148236 133666152
443172133 782963902 427403348 744327350
818008350 659089571 792860073 387650304
552386726 266596552 370444282 482184605
963444761 959420931 532339213 973528167
561104497 182438158 137271938 452948585
1988808 197676639 164357469 398195552
958912783 946177996 914276313 812056624
801451556 725989205 732144028 602009954
601233634 147076306 3921460 266397957
137191494 388434285 489593027 885872548
24034036 70570715 112929498 536127167
946812733 820783918 239278545 969945830
499949824 299113497 717047025 802489392
322293891 23366873 830069865 833004824
313902063 512509994 651522815 61308358
883365628 849904405 597593988 403347841
84356018 894122936 560680631 95833051
887536005 414957184 321147186 11901259
591729036 649555944 13239901 414199496
738180771 311957543 378921431 726026411
137862465 277484078 316761674 154129715
932708541 214611389 257240396 476580110
618503292 664833379 262128805 100960818
210716168 776275822 848319489 198139241
415159419 829949244 569036192 933959317
140840994 48308300 522567000 247050821
76152913 492909228 431108563 351394878
579400504 656590778 775197126 854093435
50449082 347406088 403280421 693842103
297515502 794719156 707230301 533764891
966457761 134468516 913252005 891907407
186146192 360563990 828356653 724311959
486375239 70903105 793274939 858905523
94570746 483485039 3165534 597987844
56727633 219705972 218319755 35244244
805335757 806000751 478045049 380077536
894738597 279204396 655917336 71511817
952021829 844996968 864954626 497422755
895536917 464273994 973966298 958514105
895326471 412994465 719956015 910403905
536760481 595415988 340521804 515777995
514632502 820343092 228888225 726397836
460023022 958377556 542706419 65807728
254018613 104112249 417098386 748956473
496832295 571665134 451491753 422605572
725862893 198227735 705938704 79176258
408005240 172563144 379573923 533968741
729976649 900275006 372692888 673546000
713699682 147070770 905266358 836348395
